#datetime;z_new_flow_RS
20190728T235959;0
20190729T000059;1.76
20190729T000159;1.76
20190729T000259;1.76
20190729T000359;1.76
20190729T000459;1.76
20190729T000559;1.76
20190729T000659;1.76
20190729T000759;1.76
20190729T000859;1.76
20190729T000959;1.76
20190729T001059;1.76
20190729T001159;1.76
20190729T001259;1.76
20190729T001359;1.76
20190729T001459;1.76
20190729T001559;1.76
20190729T001659;1.76
20190729T001759;1.76
20190729T001859;1.76
20190729T001959;1.76
20190729T002059;1.76
20190729T002159;1.76
20190729T002259;1.76
20190729T002359;1.76
20190729T002459;1.76
20190729T002559;1.77
20190729T002659;1.77
20190729T002759;1.77
20190729T002859;1.77
20190729T002959;1.77
20190729T003059;1.77
20190729T003159;1.77
20190729T003259;1.77
20190729T003359;1.77
20190729T003459;1.77
20190729T003559;1.77
20190729T003659;1.77
20190729T003759;1.77
20190729T003859;1.77
20190729T003959;1.77
20190729T004059;1.77
20190729T004159;1.77
20190729T004259;1.77
20190729T004359;1.77
20190729T004459;1.77
20190729T004559;1.77
20190729T004659;1.77
20190729T004759;1.77
20190729T004859;1.77
20190729T004959;1.77
20190729T005059;1.77
20190729T005159;1.77
20190729T005259;1.77
20190729T005359;1.77
20190729T005459;1.77
20190729T005559;1.77
20190729T005659;1.77
20190729T005759;1.77
20190729T005859;1.77
20190729T005959;1.77
20190729T010059;1.77
20190729T010159;1.77
20190729T010259;1.77
20190729T010359;1.77
20190729T010459;1.77
20190729T010559;1.77
20190729T010659;1.77
20190729T010759;1.77
20190729T010859;1.77
20190729T010959;1.77
20190729T011059;1.77
20190729T011159;1.77
20190729T011259;1.77
20190729T011359;1.77
20190729T011459;1.77
20190729T011559;1.77
20190729T011659;1.77
20190729T011759;1.78
20190729T011859;1.78
20190729T011959;1.78
20190729T012059;1.78
20190729T012159;1.78
20190729T012259;1.78
20190729T012359;1.78
20190729T012459;1.78
20190729T012559;1.78
20190729T012659;1.78
20190729T012759;1.78
20190729T012859;1.78
20190729T012959;1.78
20190729T013059;1.78
20190729T013159;1.78
20190729T013259;1.78
20190729T013359;1.78
20190729T013459;1.78
20190729T013559;1.78
20190729T013659;1.78
20190729T013759;1.78
20190729T013859;1.78
20190729T013959;1.78
20190729T014059;1.78
20190729T014159;1.78
20190729T014259;1.78
20190729T014359;1.78
20190729T014459;1.78
20190729T014559;1.78
20190729T014659;1.78
20190729T014759;1.78
20190729T014859;1.78
20190729T014959;1.78
20190729T015059;1.78
20190729T015159;1.78
20190729T015259;1.78
20190729T015359;1.78
20190729T015459;1.78
20190729T015559;1.78
20190729T015659;1.78
20190729T015759;1.78
20190729T015859;1.78
20190729T015959;1.78
20190729T020059;1.78
20190729T020159;1.78
20190729T020259;1.78
20190729T020359;1.78
20190729T020459;1.78
20190729T020559;1.78
20190729T020659;1.78
20190729T020759;1.78
20190729T020859;1.79
20190729T020959;1.79
20190729T021059;1.79
20190729T021159;1.79
20190729T021259;1.79
20190729T021359;1.79
20190729T021459;1.79
20190729T021559;1.79
20190729T021659;1.79
20190729T021759;1.79
20190729T021859;1.79
20190729T021959;1.79
20190729T022059;1.79
20190729T022159;1.79
20190729T022259;1.79
20190729T022359;1.79
20190729T022459;1.79
20190729T022559;1.79
20190729T022659;1.79
20190729T022759;1.79
20190729T022859;1.79
20190729T022959;1.79
20190729T023059;1.79
20190729T023159;1.79
20190729T023259;1.79
20190729T023359;1.79
20190729T023459;1.79
20190729T023559;1.79
20190729T023659;1.79
20190729T023759;1.79
20190729T023859;1.79
20190729T023959;1.79
20190729T024059;1.79
20190729T024159;1.79
20190729T024259;1.79
20190729T024359;1.79
20190729T024459;1.79
20190729T024559;1.79
20190729T024659;1.79
20190729T024759;1.79
20190729T024859;1.79
20190729T024959;1.79
20190729T025059;1.79
20190729T025159;1.79
20190729T025259;1.79
20190729T025359;1.79
20190729T025459;1.79
20190729T025559;1.79
20190729T025659;1.79
20190729T025759;1.79
20190729T025859;1.79
20190729T025959;1.79
20190729T030059;1.8
20190729T030159;1.8
20190729T030259;1.8
20190729T030359;1.8
20190729T030459;1.8
20190729T030559;1.8
20190729T030659;1.8
20190729T030759;1.8
20190729T030859;1.8
20190729T030959;1.8
20190729T031059;1.8
20190729T031159;1.8
20190729T031259;1.8
20190729T031359;1.8
20190729T031459;1.8
20190729T031559;1.8
20190729T031659;1.8
20190729T031759;1.8
20190729T031859;1.8
20190729T031959;1.8
20190729T032059;1.8
20190729T032159;1.8
20190729T032259;1.8
20190729T032359;1.8
20190729T032459;1.8
20190729T032559;1.8
20190729T032659;1.8
20190729T032759;1.8
20190729T032859;1.8
20190729T032959;1.8
20190729T033059;1.8
20190729T033159;1.8
20190729T033259;1.8
20190729T033359;1.8
20190729T033459;1.8
20190729T033559;1.8
20190729T033659;1.8
20190729T033759;1.8
20190729T033859;1.8
20190729T033959;1.8
20190729T034059;1.8
20190729T034159;1.8
20190729T034259;1.8
20190729T034359;1.8
20190729T034459;1.8
20190729T034559;1.8
20190729T034659;1.8
20190729T034759;1.8
20190729T034859;1.8
20190729T034959;1.8
20190729T035059;1.8
20190729T035159;1.81
20190729T035259;1.81
20190729T035359;1.81
20190729T035459;1.81
20190729T035559;1.81
20190729T035659;1.81
20190729T035759;1.81
20190729T035859;1.81
20190729T035959;1.81
20190729T040059;1.81
20190729T040159;1.81
20190729T040259;1.81
20190729T040359;1.81
20190729T040459;1.81
20190729T040559;1.81
20190729T040659;1.81
20190729T040759;1.81
20190729T040859;1.81
20190729T040959;1.81
20190729T041059;1.81
20190729T041159;1.81
20190729T041259;1.81
20190729T041359;1.81
20190729T041459;1.81
20190729T041559;1.81
20190729T041659;1.81
20190729T041759;1.81
20190729T041859;1.81
20190729T041959;1.81
20190729T042059;1.81
20190729T042159;1.81
20190729T042259;1.81
20190729T042359;1.81
20190729T042459;1.81
20190729T042559;1.81
20190729T042659;1.81
20190729T042759;1.81
20190729T042859;1.81
20190729T042959;1.81
20190729T043059;1.81
20190729T043159;1.81
20190729T043259;1.81
20190729T043359;1.81
20190729T043459;1.81
20190729T043559;1.81
20190729T043659;1.81
20190729T043759;1.81
20190729T043859;1.81
20190729T043959;1.81
20190729T044059;1.81
20190729T044159;1.81
20190729T044259;1.82
20190729T044359;1.82
20190729T044459;1.82
20190729T044559;1.82
20190729T044659;1.82
20190729T044759;1.82
20190729T044859;1.82
20190729T044959;1.82
20190729T045059;1.82
20190729T045159;1.82
20190729T045259;1.82
20190729T045359;1.82
20190729T045459;1.82
20190729T045559;1.82
20190729T045659;1.82
20190729T045759;1.82
20190729T045859;1.82
20190729T045959;1.82
20190729T050059;1.82
20190729T050159;1.82
20190729T050259;1.82
20190729T050359;1.82
20190729T050459;1.82
20190729T050559;1.82
20190729T050659;1.82
20190729T050759;1.82
