#datetime;z_new_flow_SU
20190805T000000;0
20190805T000100;0
20190805T000200;0
20190805T000300;0
20190805T000400;0
20190805T000500;0
20190805T000600;0
20190805T000700;0
20190805T000800;0
20190805T000900;0
20190805T001000;0
20190805T001100;0
20190805T001200;0
20190805T001300;0
20190805T001400;0
20190805T001500;0
20190805T001600;0
20190805T001700;0
20190805T001800;0
20190805T001900;0
20190805T002000;0
20190805T002100;0
20190805T002200;0
20190805T002300;0
20190805T002400;0
20190805T002500;0
20190805T002600;0
20190805T002700;0
20190805T002800;0
20190805T002900;0
20190805T003000;0
20190805T003100;0
20190805T003200;0
20190805T003300;0
20190805T003400;0
20190805T003500;0
20190805T003600;0
20190805T003700;0
20190805T003800;0
20190805T003900;0
20190805T004000;0
20190805T004100;0
20190805T004200;0
20190805T004300;0
20190805T004400;0
20190805T004500;0
20190805T004600;0
20190805T004700;0
20190805T004800;0
20190805T004900;0
20190805T005000;0
20190805T005100;0
20190805T005200;0
20190805T005300;0
20190805T005400;0
20190805T005500;0
20190805T005600;0
20190805T005700;0
20190805T005800;0
20190805T005900;0
20190805T010000;0
20190805T010100;0
20190805T010200;0
20190805T010300;0
20190805T010400;0
20190805T010500;0
20190805T010600;0
20190805T010700;0
20190805T010800;0
20190805T010900;0
20190805T011000;0
20190805T011100;0
20190805T011200;0
20190805T011300;0
20190805T011400;0
20190805T011500;0
20190805T011600;0
20190805T011700;0
20190805T011800;0
20190805T011900;0
20190805T012000;0
20190805T012100;0
20190805T012200;0
20190805T012300;0
20190805T012400;0
20190805T012500;0
20190805T012600;0
20190805T012700;0
20190805T012800;0
20190805T012900;0
20190805T013000;0
20190805T013100;0
20190805T013200;0
20190805T013300;0
20190805T013400;0
20190805T013500;0
20190805T013600;0
20190805T013700;0
20190805T013800;0
20190805T013900;0
20190805T014000;0
20190805T014100;0
20190805T014200;0
20190805T014300;0
20190805T014400;0
20190805T014500;0
20190805T014600;0
20190805T014700;0
20190805T014800;0
20190805T014900;0
20190805T015000;0
20190805T015100;0
20190805T015200;0
20190805T015300;0
20190805T015400;0
20190805T015500;0
20190805T015600;0
20190805T015700;0
20190805T015800;0
20190805T015900;0
20190805T020000;0
20190805T020100;0
20190805T020200;0
20190805T020300;0
20190805T020400;0
20190805T020500;0
20190805T020600;0
20190805T020700;0
20190805T020800;0
20190805T020900;0
20190805T021000;0
20190805T021100;0
20190805T021200;0
20190805T021300;0
20190805T021400;0
20190805T021500;0
20190805T021600;0
20190805T021700;0
20190805T021800;0
20190805T021900;0
20190805T022000;0
20190805T022100;0
20190805T022200;0
20190805T022300;0
20190805T022400;0
20190805T022500;0
20190805T022600;0
20190805T022700;0
20190805T022800;0
20190805T022900;0
20190805T023000;0
20190805T023100;0
20190805T023200;0
20190805T023300;0
20190805T023400;0
20190805T023500;0
20190805T023600;0
20190805T023700;0
20190805T023800;0
20190805T023900;0
20190805T024000;0
20190805T024100;0
20190805T024200;0
20190805T024300;0
20190805T024400;0
20190805T024500;0
20190805T024600;0
20190805T024700;0
20190805T024800;0
20190805T024900;0
20190805T025000;0
20190805T025100;0
20190805T025200;0
20190805T025300;0
20190805T025400;0
20190805T025500;0
20190805T025600;0
20190805T025700;0
20190805T025800;0
20190805T025900;0
20190805T030000;0
20190805T030100;0
20190805T030200;0
20190805T030300;0
20190805T030400;0
20190805T030500;0
20190805T030600;0
20190805T030700;0
20190805T030800;0
20190805T030900;0
20190805T031000;0
20190805T031100;0
20190805T031200;0
20190805T031300;0
20190805T031400;0
20190805T031500;0
20190805T031600;0
20190805T031700;0
20190805T031800;0
20190805T031900;0
20190805T032000;0
20190805T032100;0
20190805T032200;0
20190805T032300;0
20190805T032400;0
20190805T032500;0
20190805T032600;0
20190805T032700;0
20190805T032800;0
20190805T032900;0
20190805T033000;0
