#datetime;z_new_flow_SU
20190728T235959;0
20190729T000059;0
20190729T000159;0
20190729T000259;0
20190729T000359;0
20190729T000459;0
20190729T000559;0
20190729T000659;0
20190729T000759;0
20190729T000859;0
20190729T000959;0
20190729T001059;0
20190729T001159;0
20190729T001259;0
20190729T001359;0
20190729T001459;0
20190729T001559;0
20190729T001659;0
20190729T001759;0
20190729T001859;0
20190729T001959;0
20190729T002059;0
20190729T002159;0
20190729T002259;0
20190729T002359;0
20190729T002459;0
20190729T002559;0
20190729T002659;0
20190729T002759;0
20190729T002859;0
20190729T002959;0
20190729T003059;0
20190729T003159;0
20190729T003259;0
20190729T003359;0
20190729T003459;0
20190729T003559;0
20190729T003659;0
20190729T003759;0
20190729T003859;0
20190729T003959;0
20190729T004059;0
20190729T004159;0
20190729T004259;0
20190729T004359;0
20190729T004459;0
20190729T004559;0
20190729T004659;0
20190729T004759;0
20190729T004859;0
20190729T004959;0
20190729T005059;0
20190729T005159;0
20190729T005259;0
20190729T005359;0
20190729T005459;0
20190729T005559;0
20190729T005659;0
20190729T005759;0
20190729T005859;0
20190729T005959;0
20190729T010059;0
20190729T010159;0
20190729T010259;0
20190729T010359;0
20190729T010459;0
20190729T010559;0
20190729T010659;0
20190729T010759;0
20190729T010859;0
20190729T010959;0
20190729T011059;0
20190729T011159;0
20190729T011259;0
20190729T011359;0
20190729T011459;0
20190729T011559;0
20190729T011659;0
20190729T011759;0
20190729T011859;0
20190729T011959;0
20190729T012059;0
20190729T012159;0
20190729T012259;0
20190729T012359;0
20190729T012459;0
20190729T012559;0
20190729T012659;0
20190729T012759;0
20190729T012859;0
20190729T012959;0
20190729T013059;0
20190729T013159;0
20190729T013259;0
20190729T013359;0
20190729T013459;0
20190729T013559;0
20190729T013659;0
20190729T013759;0
20190729T013859;0
20190729T013959;0
20190729T014059;0
20190729T014159;0
20190729T014259;0
20190729T014359;0
20190729T014459;0
20190729T014559;0
20190729T014659;0
20190729T014759;0
20190729T014859;0
20190729T014959;0
20190729T015059;0
20190729T015159;0
20190729T015259;0
20190729T015359;0
20190729T015459;0
20190729T015559;0
20190729T015659;0
20190729T015759;0
20190729T015859;0
20190729T015959;0
20190729T020059;0
20190729T020159;0
20190729T020259;0
20190729T020359;0
20190729T020459;0
20190729T020559;0
20190729T020659;0
20190729T020759;0
20190729T020859;0
20190729T020959;0
20190729T021059;0
