,ID,NSE
0,1,-32577090.479267117
1,2,-192756209.69480252
2,3,-inf
3,4,-inf
4,5,-inf
5,6,-inf
6,7,-274430933.7516204
7,8,-inf
8,9,-inf
9,10,-inf
10,11,-24759141.873975407
11,12,-inf
12,13,-268781062.64700854
13,14,-inf
14,15,-146076.53323984263
15,16,-inf
16,17,-680944922.4493605
17,18,-5990908.468847298
18,19,-inf
19,20,-inf
20,21,-286443.37409381144
21,22,-6219185.085146569
22,23,-175173107.03354707
23,24,-inf
24,25,-256623944.51652175
25,26,-inf
26,27,-8752.949381615996
27,28,-502212.04109724757
28,29,-inf
29,30,-151693.96649461394
30,31,-inf
31,32,-3329647.493721828
32,33,-316839.2838274268
33,34,-43134739.632135004
34,35,-570085.1199226258
35,36,-69.78644175697042
36,37,-231.31052542311645
37,38,-4801150.834313725
38,39,-264219400.18079427
39,40,-inf
40,41,-inf
41,42,-inf
42,43,-145896325.59428
43,44,-8736397.086097881
44,45,-136890953.8110102
45,46,-inf
46,47,-1120570227.8125
47,48,-28.541460553224532
48,49,-198.66593531242793
49,50,-25413182.791914698
50,51,-2275885.265786892
51,52,-inf
52,53,-inf
53,54,-62064746.250670955
54,56,-7202392.10974106
55,57,-93094.83723287634
56,58,-122940.08308556011
57,59,-4662773205.714288
58,60,-473632790.38221145
59,61,-35906619.45830612
60,62,-inf
61,63,-654145.5754548729
62,64,-2691736.7506142496
63,65,-inf
64,66,-22610180.44430489
65,67,-83500038.38897431
66,68,-78130.73266531645
67,69,-7605.222305780205
68,70,-11323623.537037037
69,71,-2413.8887456620955
70,72,-3804655.398937421
71,73,-216.98071995892806
72,74,-611.0407447788747
73,75,-1838195.2610718287
74,76,-398547.2045037524
75,77,-24.972329527487155
76,78,-1484479.7504125412
77,79,-98.36950078616758
78,80,-4266.811469535172
79,81,-216.373642470007
80,82,-818.1189055238283
81,83,-385455.81262533745
82,84,-inf
83,85,-82842.00329966059
84,86,-104.47682379303963
85,87,-90490.95176243337
86,88,-7539.419921738696
87,89,-2919791.1126184925
88,90,-1744.1513955520918
89,91,-inf
90,92,-1790013.3983436858
91,93,-1316731.374167787
92,94,-171422.06059119338
93,95,-inf
94,96,-inf
95,97,-inf
96,98,-inf
97,99,-1014591.0517829449
98,100,-45990878.30754892
99,101,-inf
100,102,-63.79089294182748
101,103,-633326.23842254
102,104,-1084351838.358321
103,105,-inf
104,106,-inf
105,109,-inf
106,110,-inf
107,111,-31554815.208490983
108,112,-671626.729953151
109,113,-inf
110,114,-8758785.036568847
111,115,-1249.9365087898625
112,117,-616.2588034672509
113,118,-40.69807388763045
114,119,-2555.5334202638574
115,121,-116.26245012757515
116,122,-343.15155010236344
117,123,-154.7291902836816
118,124,-1532.6640975724379
119,125,-inf
120,126,-inf
121,127,-46.16082964856034
