#datetime;z_new_flow_RS
20190727T005959;0
20190727T010059;0
20190727T010159;5.94e-05
20190727T010259;0.0001188
20190727T010359;0.0001782
20190727T010459;0.0002376
20190727T010559;0.000297
20190727T010659;0.0003564
20190727T010759;0.0004158
20190727T010859;0.0004752
20190727T010959;0.0005346
20190727T011059;0.00064373
20190727T011159;0.00075286
20190727T011259;0.00086199
20190727T011359;0.00097112
20190727T011459;0.0010803
20190727T011559;0.0011894
20190727T011659;0.0012985
20190727T011759;0.0014076
20190727T011859;0.0015168
20190727T011959;0.0016259
20190727T012059;0.001735
20190727T012159;0.0018442
20190727T012259;0.0019533
20190727T012359;0.0020624
20190727T012459;0.0021716
20190727T012559;0.0022807
20190727T012659;0.0023898
20190727T012759;0.002499
20190727T012859;0.0026081
20190727T012959;0.0027172
20190727T013059;0.0028263
20190727T013159;0.0029355
20190727T013259;0.0030446
20190727T013359;0.0031537
20190727T013459;0.0032629
20190727T013559;0.003372
20190727T013659;0.0034811
20190727T013759;0.0035903
20190727T013859;0.0037583
20190727T013959;0.0039263
20190727T014059;0.0040943
20190727T014159;0.0042624
20190727T014259;0.0044304
20190727T014359;0.0045984
20190727T014459;0.0047664
20190727T014559;0.0049345
20190727T014659;0.0051025
20190727T014759;0.0052705
20190727T014859;0.0054385
20190727T014959;0.0056066
20190727T015059;0.0057746
20190727T015159;0.0059426
20190727T015259;0.0061107
20190727T015359;0.0062787
20190727T015459;0.0064467
20190727T015559;0.0066147
20190727T015659;0.0067828
20190727T015759;0.0069508
20190727T015859;0.0071188
20190727T015959;0.0072868
20190727T020059;0.0074549
20190727T020159;0.0076229
20190727T020259;0.0077909
20190727T020359;0.0079589
20190727T020459;0.008127
20190727T020559;0.0083618
20190727T020659;0.0085966
20190727T020759;0.0088315
20190727T020859;0.0090663
20190727T020959;0.0093011
20190727T021059;0.009536
20190727T021159;0.0097708
20190727T021259;0.010006
20190727T021359;0.01024
20190727T021459;0.010475
20190727T021559;0.01071
20190727T021659;0.010945
20190727T021759;0.01118
20190727T021859;0.011415
20190727T021959;0.011649
20190727T022059;0.011884
20190727T022159;0.012119
20190727T022259;0.012354
20190727T022359;0.012589
20190727T022459;0.012824
20190727T022559;0.013058
20190727T022659;0.013293
20190727T022759;0.013528
20190727T022859;0.013763
20190727T022959;0.013998
20190727T023059;0.014233
20190727T023159;0.014468
20190727T023259;0.014702
20190727T023359;0.015011
20190727T023459;0.01532
20190727T023559;0.015628
20190727T023659;0.015937
20190727T023759;0.016246
20190727T023859;0.016555
20190727T023959;0.016863
20190727T024059;0.017172
20190727T024159;0.017481
20190727T024259;0.017789
20190727T024359;0.018098
20190727T024459;0.018407
20190727T024559;0.018716
20190727T024659;0.019024
20190727T024759;0.019333
20190727T024859;0.019642
20190727T024959;0.01995
20190727T025059;0.020259
20190727T025159;0.020568
20190727T025259;0.020877
20190727T025359;0.021185
20190727T025459;0.021494
20190727T025559;0.021803
20190727T025659;0.022111
20190727T025759;0.02242
20190727T025859;0.022729
20190727T025959;0.023038
20190727T030059;0.023346
20190727T030159;0.023735
20190727T030259;0.024124
20190727T030359;0.024513
20190727T030459;0.024902
20190727T030559;0.025291
20190727T030659;0.02568
20190727T030759;0.026069
20190727T030859;0.026459
20190727T030959;0.026848
20190727T031059;0.027237
20190727T031159;0.027626
20190727T031259;0.028015
20190727T031359;0.028404
20190727T031459;0.028793
20190727T031559;0.029182
20190727T031659;0.029571
20190727T031759;0.02996
20190727T031859;0.030349
20190727T031959;0.030738
20190727T032059;0.031127
20190727T032159;0.031516
20190727T032259;0.031905
20190727T032359;0.032294
20190727T032459;0.032683
20190727T032559;0.033072
20190727T032659;0.033461
20190727T032759;0.03385
20190727T032859;0.034325
20190727T032959;0.034801
20190727T033059;0.035276
20190727T033159;0.035751
20190727T033259;0.036227
20190727T033359;0.036702
20190727T033459;0.037177
20190727T033559;0.037653
20190727T033659;0.038128
20190727T033759;0.038603
20190727T033859;0.039079
20190727T033959;0.039554
20190727T034059;0.040029
20190727T034159;0.040505
20190727T034259;0.04098
20190727T034359;0.041455
20190727T034459;0.041931
20190727T034559;0.042406
20190727T034659;0.042881
20190727T034759;0.043357
20190727T034859;0.043832
20190727T034959;0.044307
20190727T035059;0.044783
20190727T035159;0.045258
20190727T035259;0.045733
20190727T035359;0.046209
20190727T035459;0.046684
20190727T035559;0.047159
20190727T035659;0.047726
20190727T035759;0.048294
20190727T035859;0.048861
20190727T035959;0.049428
20190727T040059;0.049995
20190727T040159;0.050562
20190727T040259;0.05113
20190727T040359;0.051697
20190727T040459;0.052264
20190727T040559;0.052831
20190727T040659;0.053398
20190727T040759;0.053966
20190727T040859;0.054533
20190727T040959;0.0551
20190727T041059;0.055667
20190727T041159;0.056234
20190727T041259;0.056802
20190727T041359;0.057369
20190727T041459;0.057936
20190727T041559;0.058503
20190727T041659;0.05907
20190727T041759;0.059638
20190727T041859;0.060205
20190727T041959;0.060772
20190727T042059;0.061339
20190727T042159;0.061906
20190727T042259;0.062474
20190727T042359;0.063041
20190727T042459;0.063705
20190727T042559;0.064369
20190727T042659;0.065034
20190727T042759;0.065698
20190727T042859;0.066362
20190727T042959;0.067027
20190727T043059;0.067691
20190727T043159;0.068355
20190727T043259;0.06902
20190727T043359;0.069684
20190727T043459;0.070348
20190727T043559;0.071013
20190727T043659;0.071677
20190727T043759;0.072341
20190727T043859;0.073006
20190727T043959;0.07367
20190727T044059;0.074334
20190727T044159;0.074999
20190727T044259;0.075663
20190727T044359;0.076327
20190727T044459;0.076992
20190727T044559;0.077656
20190727T044659;0.07832
20190727T044759;0.078985
20190727T044859;0.079649
20190727T044959;0.080313
20190727T045059;0.080978
20190727T045159;0.081744
20190727T045259;0.082511
20190727T045359;0.083277
20190727T045459;0.084043
20190727T045559;0.08481
20190727T045659;0.085576
20190727T045759;0.086343
20190727T045859;0.087109
20190727T045959;0.087876
20190727T050059;0.088642
