#datetime;water_level_input
20190728T235959;2.26
20190729T000000;2.26
20190729T000001;2.26
20190729T000002;2.26
20190729T000003;2.26
20190729T000004;2.26
20190729T000005;2.26
20190729T000006;2.26
20190729T000007;2.26
20190729T000008;2.26
20190729T000009;2.26
20190729T000010;2.26
20190729T000011;2.26
20190729T000012;2.26
20190729T000013;2.26
20190729T000014;2.26
20190729T000015;2.26
20190729T000016;2.26
20190729T000017;2.26
20190729T000018;2.26
20190729T000019;2.26
20190729T000020;2.26
20190729T000021;2.26
20190729T000022;2.26
20190729T000023;2.26
20190729T000024;2.26
20190729T000025;2.26
20190729T000026;2.26
20190729T000027;2.26
20190729T000028;2.26
20190729T000029;2.26
20190729T000030;2.26
20190729T000031;2.26
20190729T000032;2.26
20190729T000033;2.26
20190729T000034;2.26
20190729T000035;2.26
20190729T000036;2.26
20190729T000037;2.26
20190729T000038;2.26
20190729T000039;2.26
20190729T000040;2.26
20190729T000041;2.26
20190729T000042;2.26
20190729T000043;2.26
20190729T000044;2.26
20190729T000045;2.26
20190729T000046;2.26
20190729T000047;2.26
20190729T000048;2.26
20190729T000049;2.26
20190729T000050;2.26
20190729T000051;2.26
20190729T000052;2.26
20190729T000053;2.26
20190729T000054;2.26
20190729T000055;2.26
20190729T000056;2.26
20190729T000057;2.26
20190729T000058;2.26
20190729T000059;2.26
20190729T000100;2.26
20190729T000101;2.26
20190729T000102;2.26
20190729T000103;2.26
20190729T000104;2.26
20190729T000105;2.26
20190729T000106;2.26
20190729T000107;2.26
20190729T000108;2.26
20190729T000109;2.26
20190729T000110;2.26
20190729T000111;2.26
20190729T000112;2.26
20190729T000113;2.26
20190729T000114;2.26
20190729T000115;2.26
20190729T000116;2.26
20190729T000117;2.26
20190729T000118;2.26
20190729T000119;2.26
20190729T000120;2.26
20190729T000121;2.26
20190729T000122;2.26
20190729T000123;2.26
20190729T000124;2.26
20190729T000125;2.26
20190729T000126;2.26
20190729T000127;2.26
20190729T000128;2.26
20190729T000129;2.26
20190729T000130;2.26
20190729T000131;2.26
20190729T000132;2.26
20190729T000133;2.26
20190729T000134;2.26
20190729T000135;2.26
20190729T000136;2.26
20190729T000137;2.26
20190729T000138;2.26
20190729T000139;2.26
20190729T000140;2.26
20190729T000141;2.26
20190729T000142;2.26
20190729T000143;2.26
20190729T000144;2.26
20190729T000145;2.26
20190729T000146;2.26
20190729T000147;2.26
20190729T000148;2.26
20190729T000149;2.26
20190729T000150;2.26
20190729T000151;2.26
20190729T000152;2.26
20190729T000153;2.26
20190729T000154;2.26
20190729T000155;2.26
20190729T000156;2.26
20190729T000157;2.26
20190729T000158;2.26
20190729T000159;2.26
20190729T000200;2.26
20190729T000201;2.26
20190729T000202;2.26
20190729T000203;2.26
20190729T000204;2.26
20190729T000205;2.26
20190729T000206;2.26
20190729T000207;2.26
20190729T000208;2.26
20190729T000209;2.26
20190729T000210;2.26
20190729T000211;2.26
20190729T000212;2.26
20190729T000213;2.26
20190729T000214;2.26
20190729T000215;2.26
20190729T000216;2.26
20190729T000217;2.26
20190729T000218;2.26
20190729T000219;2.26
20190729T000220;2.26
20190729T000221;2.26
20190729T000222;2.26
20190729T000223;2.26
20190729T000224;2.26
20190729T000225;2.26
20190729T000226;2.26
20190729T000227;2.26
